branch,time,actual_fine_drive,actual_coarse_drive,direct_drive_difference,fixed_fine_geometry_field_difference,terminal_configuration_metric_difference,gradient_field_pairing_error,source_drive_difference,field_difference_maximum,source_position_difference,momentum_fed_rate_maximum,configuration_metric_fed_rate_maximum,counterfactual_timelike_ratio,valid_for_claim,source_path
MTS,1.375e-05,-1.6034657294986967e-08,-1.605259934395984e-08,1.7942048972872746e-11,1.7942118549961983e-11,3.308722450212111e-24,6.957709254619566e-17,1.794204897252864e-11,4.2362367623453704e-18,0.0,6.343282832593187e-12,2.547755843267398e-14,0.03910702301692497,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,1.5000000000000002e-05,-2.232266989415836e-08,-2.243981742054912e-08,1.1714752639076005e-10,1.1714744193509048e-10,0.0,8.445566957536464e-17,1.1714752639031338e-10,5.853315302882436e-18,0.0,1.1886774821823852e-11,2.011704604981679e-14,0.039106998919796895,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,1.6250000000000002e-05,-2.6927430324242417e-08,-2.710694784316468e-08,1.7951751892226176e-10,1.7951757760085253e-10,-3.308722450212111e-24,5.867858745883434e-17,1.7951751892160994e-10,6.963709322283819e-18,0.0,8.49637021979252e-12,4.486309327340608e-14,0.03910697482275265,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,1.7500000000000002e-05,-1.9972049724874905e-08,-1.9968271707123712e-08,-3.778017751193318e-12,-3.7780867590362675e-12,-6.617444900424222e-24,6.900784956702295e-17,-3.778017751312432e-12,5.235179774733809e-18,0.0,1.786517927950676e-12,2.0037899290811757e-14,0.03910695072555024,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,1.8750000000000002e-05,-2.8512333749870888e-08,-2.8664361288874165e-08,1.520275390032773e-10,1.520276663985799e-10,-3.308722450212111e-24,1.2739529930305768e-16,1.520275390028306e-10,6.0012218138518175e-18,0.0,1.0170643786801964e-11,4.368602918650155e-14,0.039106926628273815,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,2e-05,-2.9292145473361873e-08,-2.9432843907790587e-08,1.406984344287138e-10,1.4069838119659902e-10,0.0,5.32321147880803e-17,1.4069843442793957e-10,5.64123281126874e-18,0.0,1.1416506845787973e-11,4.05511670233226e-14,0.03910690253107221,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,2.125e-05,-2.4247037986851234e-08,-2.4249411554617295e-08,2.3735677660608686e-12,2.3735369993433223e-12,-4.301339185275744e-23,3.0766760559733195e-17,2.373567765389198e-12,6.252016358132995e-18,0.0,3.1083478347661286e-12,2.5742483231039273e-14,0.03910687843367912,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,2.25e-05,-3.463917323420871e-08,-3.4832400962147496e-08,1.932277279387881e-10,1.9322737189296469e-10,6.617444900424222e-24,3.5604581680905754e-16,1.9322772793839768e-10,6.8212158812429844e-18,0.0,6.9048167248944935e-12,5.755378812422052e-14,0.03910685433626175,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,2.375e-05,-3.256048628100848e-08,-3.2668593661427864e-08,1.0810738041938539e-10,1.081073417059399e-10,6.617444900424222e-24,3.8713438880016666e-17,1.0810738041887585e-10,6.528162333827698e-18,0.0,1.208652427274491e-11,3.4780446753468604e-14,0.039106830238859525,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,2.5e-05,-3.0970866630495694e-08,-3.100116348709453e-08,3.029685659883708e-11,3.029690362115669e-11,6.617444900424222e-24,4.7022326232862685e-17,3.029685657962002e-11,6.784733907506946e-18,0.0,7.767906001591892e-12,2.4010199210881136e-14,0.03910680614123511,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
