same_parent_branch_id,path_id,paint_op,operator_sequence,point_count,line_width,stroke_color,fill_color,min_x,max_x,min_y,max_y,span_x,span_y,role_guess,score_ready,valid_prediction_row,valid_for_claim,claim_allowed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_58,S,ml,2,9.35418,black,"rgb(0,0,0)",4777.52,4780.07,598.465,604.414,2.55,5.949,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_59,S,ml,2,9.35418,black,"rgb(0,0,0)",4780.07,4783.75,604.414,609.234,3.68,4.82,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_60,S,ml,2,9.35418,black,"rgb(0,0,0)",4783.75,4788.57,609.234,612.918,4.82,3.684,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_61,S,ml,2,9.35418,black,"rgb(0,0,0)",4788.57,4794.52,612.918,615.469,5.95,2.551,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_62,S,ml,2,9.35418,black,"rgb(0,0,0)",4794.52,4800.47,615.469,616.039,5.95,0.57,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_63,S,ml,2,9.35418,black,"rgb(0,0,0)",4800.47,4806.71,615.469,616.039,6.24,0.57,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_64,S,ml,2,9.35418,black,"rgb(0,0,0)",4806.71,4812.38,612.918,615.469,5.67,2.551,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_65,S,ml,2,9.35418,black,"rgb(0,0,0)",4812.38,4817.2,609.234,612.918,4.82,3.684,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_66,S,ml,2,9.35418,black,"rgb(0,0,0)",4817.2,4821.17,604.414,609.234,3.97,4.82,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_67,S,ml,2,9.35418,black,"rgb(0,0,0)",4821.17,4823.43,598.465,604.414,2.26,5.949,tick_text_or_minor_path,False,False,False,False
